method,seed,success,message,objective_cost,route_duration_minutes,travel_minutes,service_minutes,handling_minutes,monetary_cost,lateness_minutes,late_deliveries,bridge_crossings,mode_transfers,boat_legs,cart_legs,van_legs,delivered_count,num_deliveries,expanded_route_length,solve_time_seconds
random,13,True,ok,17467.061293175248,937.9513189316172,648.4659876110783,60.0,180.0,2332.94383439373,2745.438096076819,10,47,11,53,27,0,15,15,80,0.011894374998519197
nearest_neighbor,13,True,ok,12416.86147523065,568.9083015359238,217.72968586005788,60.0,20.0,26.0,2307.499804585353,12,13,2,0,20,2,15,15,22,0.007840332997147925
earliest_tw,13,True,ok,1997.6402445934195,527.7123535390035,447.7123535390036,60.0,20.0,26.0,236.0143428569828,5,26,2,0,24,2,15,15,26,0.007708208009717055
ortools_none,13,True,ok,8383.03680942128,494.76335879267856,194.1859500293072,60.0,20.0,26.0,1522.978354246453,11,9,2,0,17,2,15,15,19,10.008461249992251
ortools_soft,13,True,ok,1292.080021249476,448.43943088741923,272.8882536417994,60.0,20.0,26.0,118.68417498366944,4,17,2,0,21,2,15,15,23,10.008861875001458
ortools_strict,13,True,ok (EDD fallback),1997.6402445934195,527.7123535390035,447.7123535390036,60.0,20.0,26.0,236.0143428569828,5,26,2,0,24,2,15,15,26,0.03668233301141299
random,14,True,ok,17046.689951119686,902.0133293274346,658.6152124449771,60.0,180.0,1159.2306910561067,2906.887853214486,10,55,11,23,36,0,15,15,59,0.010286792006809264
nearest_neighbor,14,True,ok,6470.601708406435,539.4274002851058,194.14579332994037,60.0,20.0,26.0,1127.0921215957553,8,19,2,0,20,2,15,15,22,0.00822912500007078
earliest_tw,14,True,ok,1017.4697917708429,486.2734087154914,320.8877374540213,60.0,20.0,26.0,52.41193573952114,2,27,2,0,21,2,15,15,23,0.008187707993783988
ortools_none,14,True,ok,7964.113587489912,493.83908904712484,142.73800912087265,60.0,20.0,26.0,1439.470990783845,9,11,2,0,16,2,15,15,18,10.008884333001333
ortools_soft,14,True,ok,1027.7930085506262,453.25362110191134,223.74108097181133,60.0,20.0,26.0,64.38251537955182,2,20,2,0,17,2,15,15,19,10.009017042000778
ortools_strict,14,True,ok (EDD fallback),1017.4697917708429,486.2734087154914,320.8877374540213,60.0,20.0,26.0,52.41193573952114,2,27,2,0,21,2,15,15,23,0.027670208990457468
random,15,True,ok,24912.036619888713,920.8024136863951,471.6350386001648,60.0,115.0,846.1158027666145,4536.943439318501,13,42,8,19,26,1,15,15,46,0.008419416000833735
nearest_neighbor,15,True,ok,7553.324285288547,491.64860224687914,185.5556690838433,60.0,20.0,26.0,1357.9702763836453,9,13,2,0,21,2,15,15,23,0.00873808299365919
earliest_tw,15,True,ok,1735.1020165770155,534.4273946864566,408.4788382746356,60.0,20.0,26.0,181.49218490946612,3,29,2,0,32,2,15,15,34,0.008586249998188578
ortools_none,15,True,ok,6024.658888388667,467.69929579790846,177.9627190611731,60.0,20.0,26.0,1059.421988938361,9,11,2,0,18,2,15,15,20,10.009096459005377
ortools_soft,15,True,ok,1174.3635223627837,462.1253153398752,243.59881973251572,60.0,20.0,26.0,91.03510987059417,3,16,2,0,20,2,15,15,22,10.00982274999842
ortools_strict,15,True,ok (EDD fallback),1735.1020165770155,534.4273946864566,408.4788382746356,60.0,20.0,26.0,181.49218490946612,3,29,2,0,32,2,15,15,34,0.04992529199807905
random,16,True,ok,24226.958562164207,1051.4510165234167,562.3250118235997,60.0,240.0,1446.4978893473594,4240.656829606344,10,49,15,31,34,0,15,15,65,0.01059233299747575
nearest_neighbor,16,True,ok,7884.888863215893,547.1698322085392,246.02261102886146,60.0,20.0,26.0,1407.6268229806171,8,18,2,0,23,2,15,15,25,0.008676124998601153
earliest_tw,16,True,ok,803.7982984605082,460.4218559327737,380.42185593277406,60.0,20.0,26.0,17.433102912269533,2,33,2,0,29,2,15,15,31,0.008600874993135221
ortools_none,16,True,ok,12149.712923475052,542.4266687262214,187.65332768955713,60.0,20.0,26.0,2262.0145840771434,10,16,2,0,18,2,15,15,20,10.009324583006673
ortools_soft,16,True,ok,680.538532872227,410.37524072891733,223.32708335827482,60.0,20.0,26.0,7.7951343557701875,1,20,2,0,19,2,15,15,21,10.009164874994894
ortools_strict,16,True,ok (EDD fallback),803.7982984605082,460.4218559327737,380.42185593277406,60.0,20.0,26.0,17.433102912269533,2,33,2,0,29,2,15,15,31,0.040008542011491954
random,17,True,ok,48213.64451845299,1183.2880427710588,699.7351939563135,60.0,180.0,3508.299770614281,8586.082536736427,14,48,11,78,30,0,15,15,108,0.016428749993792735
nearest_neighbor,17,True,ok,4832.174925783273,487.50819180924987,192.09407982847657,60.0,20.0,26.0,814.9825276138795,9,16,2,0,19,2,15,15,21,0.008283041010145098
